Url,Title,Country,City,IP,Port,Server,Protocol
47.103.86.210:8080,YONYOU NC,China,,47.103.86.210,8080,Apache-Coyote/1.1,
106.38.82.46:8090,YONYOU NC,China,Beijing,106.38.82.46,8090,Apache-Coyote/1.1,
39.106.145.252,Yonyou UAP,China,,39.106.145.252,80,Apache-Coyote/1.1,
116.236.107.166:8888,Yonyou NC,China,Shanghai,116.236.107.166,8888,Apache-Coyote/1.1,
220.191.186.35:9080,YONYOU NC,China,Hangzhou,220.191.186.35,9080,WebSphere Application Server/8.5,
115.238.47.59:8098,YONYOU NC,China,Hangzhou,115.238.47.59,8098,Apache-Coyote/1.1,
122.4.72.188:8888,YONYOU NC,China,Qingdao,122.4.72.188,8888,Apache-Coyote/1.1,
47.93.191.153:5555,YONYOU NC,China,,47.93.191.153,5555,Apache-Coyote/1.1,
101.89.165.143:8090,YONYOU NC,China,,101.89.165.143,8090,Apache-Coyote/1.1,
58.33.167.148:8089,YONYOU NC,China,Shanghai,58.33.167.148,8089,Apache-Coyote/1.1,
139.159.156.229:9080,YONYOU NC,China,,139.159.156.229,9080,WebSphere Application Server/8.5,
114.251.120.216:81,Yonyou UAP,China,Beijing,114.251.120.216,81,Apache-Coyote/1.1,
116.247.89.125:9042,Yonyou NC,China,Shanghai,116.247.89.125,9042,Apache-Coyote/1.1,
114.247.186.174:8001,YONYOU NC,China,Beijing,114.247.186.174,8001,nginx/1.17.0,
222.180.198.126:8888,YONYOU NC,China,Chongqing,222.180.198.126,8888,Apache-Coyote/1.1,
121.227.153.87:88,YONYOU NC,China,,121.227.153.87,88,Apache-Coyote/1.1,
117.185.39.100:8001,YONYOU NC,China,,117.185.39.100,8001,Apache-Coyote/1.1,
116.228.60.182:8090,Yonyou NC,China,Shanghai,116.228.60.182,8090,,
218.89.7.194:9193,Yonyou NC,China,Leshan,218.89.7.194,9193,IBM_HTTP_Server,
219.238.22.90:9080,YONYOU NC,China,Beijing,219.238.22.90,9080,WebSphere Application Server/8.5,
112.65.140.54:8089,YONYOU NC,China,Shanghai,112.65.140.54,8089,Apache-Coyote/1.1,
125.254.153.26:8888,Yonyou UAP,China,,125.254.153.26,8888,Apache/2.2.22 (Win32) mod_jk/1.2.28 mod_ssl/2.2.22 OpenSSL/0.9.8t,
61.178.90.131:81,Yonyou NC,China,Lanzhou,61.178.90.131,81,openresty/1.15.8.3,
101.132.111.145,YONYOU NC,China,,101.132.111.145,80,Apache-Coyote/1.1,
219.144.198.69:8088,YONYOU NC,China,Xi'an,219.144.198.69,8088,Apache-Coyote/1.1,
218.14.108.218:9080,YONYOU NC,China,Huizhou,218.14.108.218,9080,Apache-Coyote/1.1,
101.200.155.5:8200,YONYOU NC,China,,101.200.155.5,8200,Apache-Coyote/1.1,
60.223.247.54:9080,Yonyou NC,China,Taiyuan,60.223.247.54,9080,Apache-Coyote/1.1,
223.99.162.46:8001,Yonyou NC,China,Binzhou,223.99.162.46,8001,Apache-Coyote/1.1,
139.9.36.229:9000,Yonyou UAP,China,,139.9.36.229,9000,Apache-Coyote/1.1,
221.236.76.124:9001,YONYOU NC,China,Baiyu,221.236.76.124,9001,Apache-Coyote/1.1,
210.17.195.95,YONYOU NC,Hong Kong,Central,210.17.195.95,80,IBM_HTTP_Server,
111.1.68.222:8088,YONYOU NC,China,Shaoxing,111.1.68.222,8088,Apache-Coyote/1.1,
113.69.136.123:8082,Yonyou New Century,China,Foshan,113.69.136.123,8082,Apache-Coyote/1.1,
60.29.162.246:12345,YONYOU NC,China,Tianjin,60.29.162.246,12345,Apache-Coyote/1.1,
60.29.162.246:8099,YONYOU NC,China,Tianjin,60.29.162.246,8099,Apache-Coyote/1.1,
49.4.52.112:8090,Yonyou NC,China,,49.4.52.112,8090,Apache-Coyote/1.1,
47.107.36.68,GEIS,China,,47.107.36.68,80,IBM_HTTP_Server,
103.59.149.100:9527,YONYOU NC,China,,103.59.149.100,9527,Apache-Coyote/1.1,
125.89.72.16:8060,Yonyou UAP,China,,125.89.72.16,8060,IBM_HTTP_Server,
59.39.56.196:8088,YONYOU NC,China,,59.39.56.196,8088,IBM_HTTP_Server,
58.49.85.86:9091,YONYOU NC,China,Wuhan,58.49.85.86,9091,Apache-Coyote/1.1,
